
  device    bps    sps   msps

   disk4     72    4.2    1.0
   disk5     58    3.2    1.0
 disk203      1    0.2    1.0
 disk204      0    0.1    1.0
 disk205      0    0.0    1.0
 disk206      0    0.0    1.0
 disk207      0    0.0    1.0
 disk208      0    0.0    1.0
 disk209      0    0.0    1.0
 disk210      0    0.0    1.0
 disk211      0    0.0    1.0
 disk212      0    0.0    1.0
 disk213      0    0.0    1.0
 disk214      0    0.0    1.0
 disk215      0    0.0    1.0
 disk216      0    0.0    1.0
 disk217      0    0.1    1.0
 disk218      0    0.1    1.0
 disk219      1    0.2    1.0
 disk220      0    0.1    1.0
 disk221      6    1.1    1.0
 disk222     12    0.8    1.0
 disk223     25    1.2    1.0
 disk224     31    0.6    1.0
 disk225      1    0.1    1.0
 disk226     21    0.8    1.0
 disk227     63    0.9    1.0
 disk228     24    0.3    1.0
 disk229     13    0.2    1.0
 disk230     20    0.3    1.0
 disk231      2    0.1    1.0
 disk232      0    0.0    1.0
 disk233      0    0.0    1.0
 disk234      0    0.0    1.0
 disk235      0    0.0    1.0
 disk236      0    0.0    1.0
 disk237      0    0.0    1.0
 disk238     40    0.5    1.0
 disk239     18    0.2    1.0
 disk240      7    0.1    1.0
 disk241      4    0.3    1.0
 disk242      5    0.4    1.0
 disk243      4    0.3    1.0
 disk244      5    0.4    1.0
 disk245     31    2.0    1.0
 disk246     25    1.7    1.0
 disk247     33    2.2    1.0
 disk248     32    2.0    1.0
 disk249      8    0.6    1.0
 disk250      0    0.1    1.0

